age,income,credit_score,loan_amount,debt_to_income_pct,num_dependents,years_employed,account_balance,num_prev_loans,monthly_expenses,gender,employment_status,education_level,loan_purpose,region,marital_status,application_year,loan_duration_months,application_date,loan_default
29,,580,20294.17,38.22,5.0,2.8,8031.05,7,10335.64,Female,Part-Time,Bachelor,Medical,Central,Single,2015,84,2015-01-05,1
20,37005.93,668,15124.42,17.0,0.0,6.6,2713.79,2,7251.64,Male,Part-Time,Bachelor,Home,South,Married,2016,48,2016-03-13,0
72,61516.88,543,18434.53,54.79,0.0,3.4,9336.68,9,11646.83,Male,Self-Employed,Bachelor,Personal,East,Single,2011,24,2011-02-19,1
49,60906.77,771,56088.26,9.43,3.0,4.9,21859.31,4,16849.46,Male,Self-Employed,High School,Personal,Central,Single,2014,12,2014-07-12,0
21,213284.03,703,9208.64,47.11,3.0,4.2,5993.39,9,72790.57,Female,Retired,Bachelor,Home,Central,Single,2019,60,2019-02-22,1
48,21249.71,446,3899.51,10.43,2.0,1.1,1366.21,6,5553.26,Female,Part-Time,Bachelor,Medical,East,Married,2017,48,2017-10-01,1
71,14081.82,736,28888.07,3.41,2.0,6.0,10941.9,4,2680.86,Female,Self-Employed,Bachelor,Business,Central,Divorced,2021,60,2021-03-12,0
51,37901.73,808,9810.42,17.68,6.0,0.8,4999.42,0,11165.24,Female,Full-Time,High School,Car,South,Single,2021,24,2021-12-14,1
21,101916.33,623,18856.57,13.65,3.0,2.4,12459.46,9,40445.9,Male,Full-Time,Master,Education,West,Single,2015,48,2015-10-04,0
52,91680.4,602,11099.99,38.8,0.0,2.9,5003.26,6,16253.29,Male,Unemployed,Bachelor,Personal,Central,Single,2019,60,2019-02-24,1
58,25979.99,685,8273.77,43.63,6.0,5.8,3532.66,4,6857.12,Female,Full-Time,Master,Home,South,,2016,36,2016-07-03,0
38,112777.44,573,9198.67,55.66,2.0,0.6,29865.47,3,28183.66,Male,Self-Employed,Master,Medical,North,Single,2014,36,2014-03-05,1
71,71078.85,702,5676.41,13.57,5.0,1.7,6235.75,3,17647.95,Female,Unemployed,High School,Business,South,Single,2017,24,2017-08-21,0
48,226511.0,783,6528.46,41.49,0.0,0.5,10710.16,2,,Female,Full-Time,Bachelor,Education,North,Married,2010,60,2010-06-18,0
58,28465.72,481,42372.7,23.01,2.0,2.6,17818.04,6,10823.17,Female,Part-Time,Bachelor,Business,North,Widowed,2018,36,2018-06-18,1
26,18200.31,576,26467.93,14.33,0.0,7.1,,1,5375.23,Male,Full-Time,Master,Home,Central,Married,2020,36,2020-05-24,1
56,100836.71,506,18812.19,40.9,6.0,2.4,64117.63,3,21036.13,Male,Retired,Bachelor,Personal,North,,2018,48,2018-03-26,1
38,53039.39,606,19522.14,26.75,1.0,,2476.51,7,9687.35,Female,Part-Time,High School,Education,East,Divorced,2021,48,2021-10-20,0
29,32008.7,688,77561.87,28.39,6.0,6.7,2763.82,3,6274.98,Male,Unemployed,Master,Business,West,Married,2019,84,2019-10-12,0
43,62761.67,533,16265.49,36.06,1.0,0.8,14543.99,8,20472.92,Male,Part-Time,Bachelor,Education,North,Married,2022,60,2022-02-20,1
40,74673.83,614,5818.82,36.02,0.0,10.7,4179.77,1,,Male,Full-Time,High School,Personal,Central,Divorced,2012,36,2012-08-11,0
70,54745.12,733,7153.48,4.07,0.0,0.4,1700.16,1,15135.17,Male,Part-Time,High School,Personal,West,Married,2019,48,2019-03-16,0
61,114456.94,633,8429.88,38.85,3.0,1.3,11625.37,1,21076.47,Female,Full-Time,,Car,East,Married,2022,36,2022-09-20,0
41,44766.94,719,11882.7,51.93,0.0,2.3,3745.69,1,7463.29,Female,Full-Time,Master,Education,South,Widowed,2023,60,2023-06-12,0
48,40728.33,632,18286.55,23.25,5.0,12.4,1674.69,0,7144.81,Female,Full-Time,Master,Car,West,Single,2023,84,2023-05-18,0
20,53447.97,479,5774.49,24.05,0.0,,7854.35,5,9985.44,Male,Part-Time,Bachelor,Medical,East,Divorced,2021,36,2021-01-08,0
66,35858.7,612,6440.93,40.65,1.0,0.7,42334.08,5,11748.65,Male,Full-Time,Bachelor,Personal,East,Married,2023,60,2023-07-03,0
63,208362.74,702,10362.26,39.43,2.0,0.8,,8,62144.05,Male,Unemployed,PhD,Education,North,Single,2014,48,2014-02-19,1
45,34175.54,749,15600.18,51.32,3.0,2.6,15822.5,2,7621.36,Male,Unemployed,Bachelor,Car,Central,Divorced,2021,48,2021-09-01,0
31,59450.34,688,14200.39,34.98,4.0,,18044.21,9,22948.95,Male,Full-Time,,Car,Central,Married,2018,12,2018-01-05,1
58,84807.42,625,44219.35,13.13,6.0,6.9,2897.18,7,17002.54,Female,Full-Time,Master,Home,East,Divorced,2015,48,2015-07-06,0
33,54679.11,564,44928.62,16.75,1.0,4.3,7229.1,1,10150.89,Female,Full-Time,Bachelor,Education,Central,Widowed,2014,36,2014-05-13,1
34,146323.95,616,32861.74,29.45,6.0,5.7,3830.78,0,28807.98,Male,Part-Time,Bachelor,Medical,Central,Married,2011,60,2011-03-24,0
57,61592.39,526,18726.14,4.91,3.0,2.8,46145.91,5,,Male,Retired,Bachelor,Home,Central,Single,2013,60,2013-07-13,1
22,38407.96,652,3857.08,19.12,6.0,1.3,14073.7,5,7469.1,Female,Full-Time,Bachelor,Car,East,Married,2014,48,2014-03-20,0
50,117445.52,731,16942.45,1.0,2.0,2.8,69134.59,5,39667.35,Male,Full-Time,Master,Car,West,Divorced,2011,60,2011-07-07,0
31,60549.71,517,8426.1,10.2,0.0,5.1,12738.78,5,18211.71,Female,Self-Employed,High School,Personal,North,Single,2021,12,2021-05-05,0
44,,697,6016.2,37.94,2.0,26.1,11646.78,1,10851.95,Male,Full-Time,,Home,West,Single,2024,60,2024-09-12,0
61,43310.39,558,6546.28,21.67,2.0,13.2,8460.48,2,,Male,Full-Time,High School,Home,South,Married,2024,36,2024-11-04,0
22,43832.59,608,11064.85,23.29,2.0,17.5,23720.34,2,10306.58,Male,Part-Time,Master,Home,North,,2019,84,2019-03-21,1
59,30930.08,539,3103.19,32.67,4.0,0.5,3782.33,8,5879.63,Female,Full-Time,High School,Business,Central,Single,2019,84,2019-09-07,1
58,64942.67,610,12867.68,26.47,5.0,8.0,7154.59,0,15306.88,Female,Full-Time,Bachelor,Business,North,Single,2010,36,2010-12-01,0
50,108727.81,538,24204.4,9.17,0.0,6.7,12976.62,7,22530.04,Female,Full-Time,,Education,West,Single,2014,60,2014-02-26,1
45,54567.19,680,57095.3,10.16,6.0,1.7,261.92,8,11985.29,Male,Part-Time,High School,Home,Central,Married,2021,60,2021-10-24,1
55,103720.47,654,15173.1,57.78,4.0,12.9,1156.62,7,39765.27,Male,Self-Employed,Bachelor,Medical,North,Single,2024,36,2024-07-19,1
69,88934.23,691,37294.37,28.0,4.0,1.2,4876.82,0,14874.74,Male,Part-Time,Bachelor,Personal,Central,Single,2021,60,2021-03-22,0
60,96110.84,608,38971.33,29.58,5.0,8.8,46768.55,5,29288.1,Male,Full-Time,,Education,Central,Married,2020,60,2020-11-15,0
69,19290.87,547,18910.21,20.63,6.0,9.5,17582.29,9,4747.42,Female,Self-Employed,Bachelor,Education,East,Single,2013,36,2013-01-12,1
34,19832.29,653,95904.61,13.37,0.0,1.2,2085.2,4,3361.94,Female,Full-Time,Master,Home,North,Widowed,2016,60,2016-01-13,1
20,9743.7,757,8204.71,37.24,4.0,10.4,1200.74,3,2855.1,Male,Full-Time,High School,Home,Central,Married,2021,48,2021-01-22,0
45,72456.05,571,27041.03,12.24,2.0,1.9,138068.97,6,19126.08,Male,Full-Time,,Home,West,Married,2018,48,2018-05-23,1
61,73102.82,627,12705.94,13.07,4.0,3.7,3808.84,5,12499.6,Male,Full-Time,Bachelor,Education,East,Single,2024,36,2024-06-28,0
64,68832.75,539,24651.28,17.9,4.0,1.8,658.43,8,12094.32,Female,Unemployed,Bachelor,Personal,South,Single,2014,84,2014-08-08,1
68,,616,31369.08,37.06,0.0,15.1,10956.26,0,11458.62,Male,Part-Time,,Car,West,Married,2015,36,2015-06-02,0
69,16476.04,576,11388.99,14.63,0.0,2.2,3770.24,5,4231.18,Male,Retired,High School,Business,North,Widowed,2022,36,2022-08-11,1
46,21758.47,657,6629.85,6.12,1.0,12.8,5007.05,9,5041.48,Male,Full-Time,High School,Education,North,Married,2020,36,2020-10-27,0
20,48039.87,776,2510.22,27.93,4.0,,,5,9160.08,Male,Full-Time,Bachelor,Medical,Central,Divorced,2015,24,2015-05-14,0
52,63142.92,723,10804.67,30.04,2.0,4.7,2205.0,0,13769.13,Female,Full-Time,Bachelor,Car,East,Single,2016,48,2016-08-19,1
49,148957.98,611,10150.8,9.67,0.0,0.2,1337.97,9,,Male,Self-Employed,,Education,North,,2018,60,2018-06-23,1
51,51029.17,690,4994.16,8.95,4.0,12.8,1158.11,0,10150.64,Female,Retired,High School,Business,West,,2017,36,2017-08-08,1
18,87643.55,590,29560.92,46.22,6.0,2.1,5122.23,5,32159.17,Male,Self-Employed,Master,Car,West,Married,2018,84,2018-08-11,1
51,43183.62,720,12816.92,24.3,0.0,3.4,23968.84,1,13096.06,Female,Unemployed,Master,Business,North,,2022,36,2022-12-04,0
58,,581,11339.92,14.09,4.0,,1167.19,4,16116.11,Female,Self-Employed,Master,Personal,East,Divorced,2023,36,2023-12-24,1
53,39979.05,634,6815.61,60.11,4.0,7.9,1805.64,5,,Female,Full-Time,Master,Business,East,Married,2012,84,2012-11-25,1
65,11147.4,782,7232.23,20.82,5.0,5.8,5061.57,3,2054.15,Female,Retired,Master,Home,East,Single,2021,60,2021-11-24,0
42,33671.82,504,14812.19,34.3,2.0,10.1,14046.79,3,7396.11,Male,Full-Time,,Personal,East,Married,2017,24,2017-07-14,1
64,119833.64,594,3423.59,23.71,6.0,1.2,1654.1,4,46591.95,Male,Full-Time,,Education,Central,Married,2020,36,2020-04-14,0
62,57506.8,768,34915.03,12.79,3.0,9.9,,2,13254.02,Female,Full-Time,Bachelor,Medical,Central,Married,2012,48,2012-04-24,0
56,16617.82,689,20406.03,14.51,6.0,1.5,2225.03,1,3997.69,Female,Full-Time,PhD,Home,West,Married,2022,24,2022-09-19,1
53,63442.23,478,32420.68,3.35,0.0,0.4,3926.37,4,11490.55,Female,Full-Time,,Home,Central,,2018,48,2018-03-28,1
26,92276.62,535,24245.44,18.24,5.0,4.1,7950.76,3,24074.51,Female,Unemployed,,Medical,South,Married,2020,12,2020-02-25,1
23,17945.97,693,1841.97,44.48,3.0,10.2,3313.63,4,3237.22,Female,Full-Time,Bachelor,Education,Central,Single,2017,36,2017-04-06,0
35,51344.65,634,1997.59,53.61,0.0,2.2,11891.87,9,9480.02,Female,Retired,,Home,West,Widowed,2011,60,2011-09-04,1
30,112895.55,541,12966.97,46.2,6.0,4.0,22783.18,0,19903.85,Male,Full-Time,Master,Home,North,Single,2014,36,2014-06-21,1
36,31735.35,708,13991.19,40.87,2.0,3.2,1323.55,7,6583.7,Female,Self-Employed,High School,Car,East,Single,2011,60,2011-07-27,1
44,44904.89,569,21179.18,67.26,3.0,10.9,889.71,1,16101.8,Female,Full-Time,Bachelor,Home,West,Single,2023,60,2023-07-13,1
73,27621.95,606,11771.73,34.1,1.0,13.7,9037.14,2,4853.11,Male,Full-Time,Master,Medical,West,Single,2018,36,2018-05-11,0
26,15983.21,598,8111.92,11.39,,0.0,12506.0,9,3699.19,Male,Retired,High School,Car,South,Single,2018,36,2018-12-10,1
31,56842.7,741,22893.38,31.36,4.0,10.5,8377.63,5,11760.17,Female,Self-Employed,High School,Car,West,Married,2015,48,2015-07-15,0
20,34301.6,693,10910.73,41.01,5.0,3.1,3223.51,8,12653.39,Female,Full-Time,PhD,Business,North,Married,2014,36,2014-09-05,0
18,24368.48,616,62714.52,10.68,0.0,,20120.19,8,4821.07,Female,Unemployed,Bachelor,Home,East,Married,2017,60,2017-11-01,0
26,14012.21,615,10755.41,29.32,0.0,0.1,1239.29,1,2919.5,Female,Self-Employed,Bachelor,Car,South,Married,2021,36,2021-07-23,0
36,53899.12,698,23820.47,46.56,2.0,,19573.09,7,20418.26,Male,Full-Time,High School,Home,North,Married,2023,36,2023-03-24,0
60,56342.78,735,28056.52,25.1,2.0,11.3,14752.34,8,16266.21,Female,Full-Time,Bachelor,Personal,South,Widowed,2015,24,2015-12-22,0
68,100065.78,644,11054.21,10.18,1.0,2.2,2143.4,9,23738.36,Male,Full-Time,Bachelor,Home,East,Divorced,2021,48,2021-07-02,0
71,50339.27,604,32156.88,24.99,5.0,3.4,4289.2,2,12077.73,Female,Self-Employed,PhD,Personal,West,Married,2014,36,2014-05-03,0
28,48846.18,608,105009.56,4.97,5.0,7.5,12286.61,9,11597.2,Male,Retired,Master,Medical,North,Single,2017,36,2017-10-18,1
59,76893.56,527,25658.9,25.51,5.0,14.6,5759.09,3,19129.24,Male,Unemployed,Bachelor,Home,East,,2021,60,2021-08-27,1
68,50281.05,781,14211.11,37.23,6.0,4.9,3446.8,4,11246.21,Male,Part-Time,Bachelor,Home,South,Divorced,2020,36,2020-01-12,0
60,182346.57,724,17534.1,34.31,0.0,11.4,10314.0,4,31144.32,Male,Full-Time,PhD,Home,West,Divorced,2021,36,2021-05-20,1
54,17919.24,678,18076.32,42.56,3.0,0.6,4255.99,0,,Male,Full-Time,High School,Business,Central,Single,2018,36,2018-04-12,0
29,73863.85,572,17754.19,21.54,1.0,2.3,14971.81,8,15751.1,Female,Part-Time,,Home,Central,Single,2019,36,2019-02-10,1
22,36884.08,781,11191.5,41.24,1.0,1.0,12841.11,6,7766.21,Female,Part-Time,,Home,Central,Single,2019,60,2019-02-28,0
65,41996.21,618,61552.09,12.15,2.0,5.1,17572.02,8,12030.34,Male,Full-Time,High School,Medical,West,Single,2011,60,2011-03-23,1
29,30376.44,530,5074.78,24.04,0.0,3.6,161.99,0,,Female,Full-Time,,Business,West,Married,2013,36,2013-08-11,1
36,55150.3,583,8358.29,20.73,6.0,14.5,3608.5,6,11649.29,Female,Unemployed,Bachelor,Car,North,,2011,84,2011-04-21,0
68,30272.12,695,31679.81,30.4,4.0,13.4,,7,7123.03,Female,Self-Employed,,Home,North,Married,2024,84,2024-04-25,0
72,,641,9184.25,5.95,6.0,16.8,155.01,5,41618.52,Male,Full-Time,High School,Education,West,Single,2010,60,2010-08-24,0
48,,537,68767.76,38.52,3.0,1.9,2857.76,6,22717.13,Female,Unemployed,Bachelor,Home,South,Married,2016,60,2016-09-20,1
64,170885.95,645,18363.03,38.76,2.0,13.2,9231.03,1,46599.25,Male,Self-Employed,Bachelor,Home,West,Single,2016,48,2016-04-03,1
62,45279.54,755,17836.91,35.41,1.0,6.2,1116.25,9,10330.24,Male,Full-Time,High School,Personal,South,Married,2014,48,2014-02-04,0
30,39974.14,785,4501.36,35.88,,11.9,,1,10614.11,Male,Unemployed,PhD,Education,Central,,2018,36,2018-10-22,0
58,93195.09,818,22245.47,27.2,4.0,2.0,8140.14,3,27101.4,Male,Full-Time,Master,Home,South,Single,2021,48,2021-03-01,1
41,175585.5,749,73714.14,11.51,6.0,16.2,7861.2,6,33793.96,Female,Full-Time,PhD,Personal,North,Single,2017,84,2017-03-27,0
72,99315.88,449,17527.88,75.58,4.0,1.3,,1,38323.28,Female,Retired,,Education,West,Married,2023,12,2023-08-27,1
65,41389.82,650,1485.12,40.0,0.0,1.7,3045.04,6,9792.34,Female,Full-Time,PhD,Business,Central,Married,2014,84,2014-06-02,0
37,100827.46,617,23483.47,40.63,,2.8,7562.96,3,23467.6,Male,Retired,Bachelor,Medical,Central,Married,2015,60,2015-08-22,1
56,,697,43848.77,15.81,5.0,21.0,1108.56,4,22363.05,Male,Self-Employed,Bachelor,Home,West,Married,2018,36,2018-02-01,0
46,54517.01,809,21041.58,44.83,0.0,4.4,5436.35,8,20470.91,Male,Self-Employed,Bachelor,Home,South,Married,2016,24,2016-11-14,0
66,72137.91,635,32651.32,17.02,1.0,1.8,16033.15,1,28196.09,Male,Full-Time,High School,Home,North,Divorced,2022,60,2022-01-10,0
52,98790.7,490,11098.99,43.1,5.0,0.2,12839.03,3,23540.42,Female,Full-Time,Master,Business,South,Married,2018,48,2018-06-22,1
32,42339.66,577,61319.33,2.95,5.0,6.7,,5,12843.01,Male,Full-Time,Master,Home,North,,2022,24,2022-08-19,1
22,31380.08,779,14566.02,14.47,1.0,0.3,50286.55,7,9166.91,Male,Self-Employed,Master,Personal,Central,Widowed,2019,36,2019-05-05,0
32,62388.09,680,57508.39,43.38,0.0,3.0,1104.91,4,,Male,Full-Time,High School,Car,South,Single,2023,60,2023-03-06,1
34,48654.66,714,8415.84,14.55,1.0,0.7,11076.86,3,17135.51,Female,Part-Time,High School,Home,North,,2023,36,2023-04-02,1
52,37030.22,444,7093.18,63.84,3.0,3.7,9826.71,0,10445.91,Male,Unemployed,,Home,West,Married,2020,24,2020-04-05,1
44,47175.23,673,7348.99,15.82,6.0,22.6,4637.43,2,8352.45,Female,Full-Time,Master,Education,East,Married,2012,36,2012-03-15,0
66,132759.05,557,96047.34,26.58,6.0,7.9,,7,28263.33,Female,Unemployed,Master,Home,South,Single,2019,60,2019-12-18,1
26,31832.46,651,6113.79,35.12,,,570.5,2,11185.59,Male,Full-Time,,Business,Central,Married,2018,60,2018-09-01,0
